video_id,date,views,likes,comments,watch_time_minutes,video_length_minutes,subscribers,category,device,country,ad_revenue_usd
vid_2960,50:41.0,10013,1256,166,38177.28077,29.58863181,498732,Lifestyle,Mobile,IN,256.6002327
vid_2745,50:41.0,9982,1099,197,39735.17684,12.99968855,621563,Tech,Mobile,US,261.6178607
vid_3192,50:41.0,9949,1826,245,39274.76591,4.577987242,183444,Tech,Tablet,AU,272.595492
vid_60,50:41.0,10039,501,73,28023.18669,4.593501385,434927,Tech,TV,AU,194.2889893
vid_479,50:41.0,10091,448,486,25142.05919,5.016507335,946478,Education,Tablet,UK,187.1641982
vid_2319,50:41.0,10117,1361,288,23675.72538,28.99229552,6647,Tech,Desktop,CA,192.6755422
vid_1909,50:41.0,9853,1564,140,21268.61125,15.76915385,671298,Tech,TV,US,180.8968774
vid_1121,50:41.0,10236,221,230,39733.52386,16.94367445,449742,Entertainment,TV,IN,248.4101948
vid_3706,50:41.0,10028,1518,83,47357.40013,7.560315496,466031,Lifestyle,TV,DE,303.0349249
vid_4470,50:41.0,9978,1211,265,30444.04207,28.73333922,235362,Gaming,TV,AU,220.8873562
vid_745,50:41.0,9914,1865,284,51990.65733,20.93609673,103305,Tech,Tablet,UK,333.7032655
vid_1559,50:41.0,9999,481,301,57326.49771,13.56856892,197000,Gaming,Tablet,DE,335.8070482
vid_2460,50:41.0,9913,1191,290,48737.98119,24.48918593,215258,Entertainment,Tablet,US,306.8820461
vid_1558,50:41.0,9763,725,258,37352.86477,22.71856906,383582,Lifestyle,Mobile,DE,243.8656481
vid_1260,50:41.0,10211,2040,403,49667.74216,4.852402764,385073,Music,Desktop,IN,329.3523674
vid_1527,50:41.0,10105,755,122,31000.56212,22.63045378,708964,Lifestyle,Desktop,US,213.8775857
vid_4938,50:41.0,9973,1759,307,43158.75331,21.47996402,196452,Music,Desktop,DE,290.9458019
vid_493,50:41.0,9828,1796,356,18582.53292,2.440223257,586230,Music,Tablet,AU,175.8029393
vid_4242,50:41.0,9987,1529,356,47979.15293,16.29787681,694559,Gaming,TV,IN,310.6337826
vid_1177,50:41.0,9958,1722,314,47425.762,18.05451177,941806,Music,TV,US,310.4689901
vid_1307,50:41.0,10037,1604,228,39168.7599,23.32319057,687426,Music,TV,US,268.4464603
vid_3699,50:41.0,9947,1041,439,44249.76882,19.87656098,836855,Gaming,Mobile,US,285.8821747
vid_2580,50:41.0,10202,365,178,35671.17027,24.04979816,144408,Gaming,TV,US,230.6621669
vid_2184,50:41.0,10090,1755,125,36401.67717,26.54687695,591585,Gaming,Mobile,CA,256.5020938
vid_2189,50:41.0,10107,1723,219,45067.29652,9.485213881,395597,Music,Mobile,IN,298.5106579
vid_4712,50:41.0,10145,1977,445,23489.5447,29.42037318,351869,Music,Tablet,AU,205.2295011
vid_2144,50:41.0,9921,715,379,30989.63339,7.076375488,669011,Music,TV,CA,216.597005
vid_3839,50:41.0,9925,,424,51023.87963,21.49374288,774823,Music,Tablet,US,323.1183492
vid_4533,50:41.0,10085,507,,36365.28932,14.79418719,798376,Tech,Desktop,DE,237.2093416
vid_1780,50:41.0,10064,1840,,49965.79092,27.22545744,444918,Entertainment,Mobile,DE,322.8932246
vid_26,50:41.0,9910,1715,478,24816.611,20.49224956,197245,Tech,Mobile,UK,206.3256565
vid_2523,50:41.0,9801,598,201,55275.63512,24.58016244,740623,Gaming,Tablet,AU,325.3987105
vid_203,50:41.0,9996,620,164,54338.8055,22.52817776,361178,Gaming,TV,UK,321.7402102
vid_2454,50:41.0,9914,520,315,26054.17221,12.64622092,856311,Entertainment,Desktop,IN,188.8406001
vid_4499,50:41.0,9973,970,391,45763.57456,23.41346663,844790,Music,Tablet,UK,291.1092412
vid_2528,50:41.0,9849,1461,,20427.46481,18.14394537,602992,Education,Desktop,US,180.9322614
vid_2334,50:41.0,10060,629,196,,3.690922645,85016,Music,TV,AU,346.5261459
vid_434,50:41.0,10170,743,351,36572.09351,20.61016181,614925,Music,TV,DE,244.2131002
vid_171,50:41.0,10062,303,291,40164.81705,5.237453095,228912,Education,Mobile,CA,251.994725
vid_3059,50:41.0,9903,1975,277,55388.22875,27.19929918,265209,Gaming,Desktop,DE,351.4342202
vid_486,50:41.0,10037,1224,124,20564.11376,17.21277572,425436,Entertainment,TV,DE,172.4155138
vid_4676,50:41.0,9866,842,483,50169.43335,10.18993835,453782,Music,Desktop,UK,310.7045629
vid_1697,50:41.0,9965,1239,199,43841.95932,12.48189448,376174,Gaming,Mobile,AU,283.3314606
vid_3468,50:41.0,10186,1946,248,17463.41342,19.14309868,627639,Music,TV,IN,173.114
vid_2107,50:41.0,9960,1774,316,44113.22873,11.70842387,425761,Education,Mobile,AU,295.7904716
vid_1392,50:41.0,10033,,400,23282.10275,9.578836802,984698,Tech,Desktop,IN,194.9195823
vid_4985,50:41.0,10122,438,443,19703.50249,12.75688565,107316,Tech,Mobile,CA,160.7745211
vid_3678,50:41.0,9816,1173,253,18897.71037,26.13454938,549290,Music,Mobile,IN,164.7483121
vid_2979,50:41.0,9974,282,155,24049.28269,12.96387205,631891,Education,Desktop,AU,172.8605343
vid_4566,50:41.0,10051,743,127,15237.16918,22.27034688,614036,Entertainment,Mobile,IN,139.1588346
vid_2373,50:41.0,9983,1294,413,35345.03263,7.566128588,762548,Lifestyle,Tablet,AU,247.9895814
vid_3384,50:41.0,9955,1128,80,35977.3587,22.21711184,12714,Education,TV,US,242.2483254
vid_2166,50:41.0,10091,447,466,51287.23132,6.910122871,383972,Tech,Tablet,IN,310.0656106
vid_3243,50:41.0,10073,353,,23191.30778,26.68213916,562014,Entertainment,TV,DE,176.2235382
vid_2690,50:41.0,10001,267,470,58340.0429,18.89668023,849753,Lifestyle,TV,AU,339.8224331
vid_2952,50:41.0,10025,1372,286,58406.20642,20.67796228,347914,Education,TV,UK,356.0889643
vid_4855,50:41.0,9903,,133,49664.71187,23.54941714,918110,Entertainment,Mobile,DE,314.4818313
vid_2420,50:41.0,9972,886,418,20612.59246,15.79066753,930802,Gaming,Tablet,UK,171.5491493
vid_4350,50:41.0,9966,1135,295,24395.34989,26.31819205,185505,Gaming,Desktop,US,191.5174382
vid_1204,50:41.0,9852,1697,416,16570.54378,21.64608637,961816,Gaming,TV,AU,165.7720874
vid_148,50:41.0,10161,864,408,42105.80861,2.686397287,833608,Tech,Mobile,US,273.3144527
vid_4833,50:41.0,9987,1172,444,43495.60017,7.392095962,221793,Lifestyle,Tablet,IN,284.8725154
vid_3689,50:41.0,9999,1175,308,,27.38684799,312711,Music,Mobile,CA,341.2487569
vid_1889,50:41.0,10128,1055,61,52346.20282,7.026761487,141410,Tech,Mobile,IN,318.7399866
vid_581,50:41.0,10273,264,327,,2.70075793,597184,Lifestyle,Tablet,IN,242.2905264
vid_3064,50:41.0,9944,199,439,58705.44848,23.45355428,799592,Tech,Desktop,DE,339.5466105
vid_2782,50:41.0,9950,1673,459,,7.473298121,533452,Lifestyle,TV,US,226.2891885
vid_3280,50:41.0,9937,1065,448,42940.65061,28.25132054,178946,Gaming,Desktop,AU,280.2253689
vid_2285,50:41.0,9939,307,264,14959.06417,15.81367352,732948,Tech,Mobile,AU,132.1251162
vid_3475,50:41.0,9988,1798,373,36699.65611,9.311696347,643406,Lifestyle,Tablet,UK,262.3769855
vid_3342,50:41.0,10070,483,307,59256.83354,22.4883302,292529,Education,TV,UK,345.4151221
vid_448,50:41.0,10058,1695,276,18804.67285,19.63206263,78951,Education,Tablet,IN,174.9377055
vid_738,50:41.0,9903,1167,350,42632.67376,6.825830161,212587,Education,Tablet,CA,278.6649971
vid_1614,50:41.0,9991,1567,451,37406.3271,12.0232549,297312,Entertainment,Mobile,IN,263.0945774
vid_3368,50:41.0,10161,,253,41867.51687,9.704127405,879974,Music,Tablet,CA,263.3395313
vid_3225,50:41.0,10008,1145,422,24420.85021,6.868152693,868074,Education,TV,CA,194.2111641
vid_4534,50:41.0,9793,1237,334,35975.01822,24.56005244,132557,Music,TV,CA,247.6322163
vid_2891,50:41.0,9878,1570,148,36643.63043,20.60542733,261701,Lifestyle,Desktop,IN,253.7538367
vid_168,50:41.0,9857,1115,110,27451.71199,24.70029915,74076,Lifestyle,Desktop,US,201.8354262
vid_4342,50:41.0,10096,1767,,26688.30106,25.13828764,83803,Entertainment,Mobile,UK,211.4611667
vid_4503,50:41.0,9851,758,390,45436.51558,26.65347833,817107,Entertainment,Tablet,US,285.270736
vid_2153,50:41.0,9888,779,164,48402.8158,10.4368495,915280,Education,Desktop,IN,295.9248415
vid_537,50:41.0,10044,1024,264,16732.11971,10.18928076,264686,Lifestyle,Tablet,AU,153.3546727
vid_717,50:41.0,9982,1981,,50028.51598,23.71737116,616220,Music,TV,AU,326.0272889
vid_608,50:41.0,10118,434,155,29007.90278,25.58820803,794733,Music,Tablet,US,199.6008998
vid_1967,50:41.0,10025,1092,312,48928.45604,18.11217477,64084,Music,Tablet,UK,307.0401844
vid_3476,50:41.0,10031,750,418,22597.26089,24.48814778,281627,Education,TV,CA,178.8758727
vid_2795,50:41.0,10050,1923,488,37533.01935,3.851173947,605523,Education,Desktop,US,270.7539152
vid_1303,50:41.0,10087,667,356,22280.63549,16.07212796,668828,Entertainment,Mobile,UK,175.1827468
vid_1315,50:41.0,10022,467,209,,27.62508351,625757,Entertainment,TV,CA,327.2472744
vid_3789,50:41.0,10117,228,,58136.73797,6.932233431,160887,Tech,Mobile,UK,335.0512008
vid_2992,50:41.0,10071,1608,71,32759.08997,13.21886913,566115,Tech,Mobile,AU,235.7753311
vid_2471,50:41.0,9991,608,190,40872.73038,8.879911696,455376,Lifestyle,Tablet,US,258.4684896
vid_453,50:41.0,10063,1994,181,,13.15762223,340028,Gaming,TV,DE,173.0152153
vid_3996,50:41.0,10028,1834,437,53840.63142,18.67591351,569303,Gaming,Tablet,CA,345.1158762
vid_4649,50:41.0,10015,1309,,38435.94994,17.69082406,944819,Gaming,Mobile,US,256.9020414
vid_402,50:41.0,10096,1821,202,57747.11626,18.58667463,953736,Entertainment,TV,IN,359.6249817
vid_3958,50:41.0,10076,1708,489,27357.15225,18.28884596,891847,Gaming,Desktop,US,219.2368035
vid_2242,50:41.0,9987,1374,149,45364.24509,6.779677794,619758,Music,Tablet,DE,292.0838847
vid_2329,50:41.0,9964,1052,145,25863.03059,22.27641143,654292,Education,Tablet,DE,194.4217973
vid_3635,50:41.0,10132,,261,,19.86647926,983644,Gaming,Mobile,IN,310.5063027
vid_3397,50:41.0,9902,1113,307,31908.80843,21.15389274,256067,Education,Desktop,US,226.4345678
vid_943,50:41.0,9969,1612,478,28489.05122,16.30875753,443807,Gaming,Mobile,DE,222.1766228
vid_372,50:41.0,10120,623,431,29321.41789,3.868543503,176810,Gaming,Tablet,IN,209.0815176
vid_3864,50:41.0,9703,819,386,25840.3365,9.885193364,490303,Entertainment,Mobile,AU,193.0923915
vid_2701,50:41.0,10134,1036,506,50377.74067,22.68306614,853598,Entertainment,TV,AU,316.812676
vid_4094,50:41.0,9988,1551,102,29328.90489,5.435542755,281077,Tech,TV,US,218.7242674
vid_3126,50:41.0,10172,386,352,45084.6539,29.72847543,289623,Gaming,TV,AU,278.2375932
vid_1114,50:41.0,10130,1000,99,30756.40229,20.27346416,290266,Entertainment,TV,IN,216.6723375
vid_3283,50:41.0,10014,1521,447,35130.66998,20.91665621,200883,Lifestyle,Desktop,CA,251.6263821
vid_4565,50:41.0,10049,,420,29678.14563,8.299220888,440992,Gaming,Mobile,IN,213.4699214
vid_4971,50:41.0,10088,1062,185,31087.96542,21.04608363,439969,Gaming,TV,UK,220.5603953
vid_299,50:41.0,10005,617,264,17283.41376,15.95160895,757429,Entertainment,TV,UK,148.7553104
vid_2206,50:41.0,10126,1521,,34418.93048,7.746601412,859947,Lifestyle,Mobile,US,242.8904136
vid_719,50:41.0,9975,642,227,45406.10646,24.47980737,12347,Gaming,Desktop,IN,280.9781886
vid_65,50:41.0,10123,372,471,,18.91821895,119287,Music,Mobile,CA,229.8651454
vid_2660,50:41.0,10115,839,220,38659.85495,10.91066747,382107,Gaming,TV,CA,253.1677971
vid_137,50:41.0,10131,869,263,17203.9746,28.66068785,621822,Lifestyle,Desktop,IN,153.3513266
vid_3292,50:41.0,10037,504,197,52327.58337,6.994060247,670459,Entertainment,Tablet,IN,311.0453076
vid_3668,50:41.0,9959,1697,459,55011.00683,25.08885897,103488,Education,Tablet,US,348.2975902
vid_3866,50:41.0,9936,1905,477,52928.46585,24.07885916,187233,Gaming,Desktop,AU,342.243879
vid_106,50:41.0,9937,621,,37792.87562,21.77264191,298615,Tech,Tablet,US,247.3623239
vid_1419,50:41.0,10086,1760,52,45819.8862,28.10625668,690979,Lifestyle,Mobile,IN,299.7149948
vid_3929,50:41.0,10020,205,485,32237.90793,11.61124,426856,Lifestyle,Mobile,UK,216.0541784
vid_789,50:41.0,10028,358,414,36952.17768,4.227179252,536971,Tech,TV,AU,239.7308173
vid_3727,50:41.0,9957,489,138,21955.52854,4.73347189,104629,Gaming,Desktop,AU,166.1664759
vid_3559,50:41.0,10046,701,151,44867.61833,5.947550671,888173,Entertainment,Mobile,US,278.51722
vid_155,50:41.0,9878,893,204,56591.41021,6.547906412,503783,Tech,TV,US,337.1250104
vid_1321,50:41.0,9914,1955,115,54642.47625,10.854213,242650,Education,TV,DE,344.8475596
vid_528,50:41.0,9977,425,141,58818.12621,14.05961662,124124,Entertainment,Mobile,UK,339.0122872
vid_4148,50:41.0,10141,265,178,29029.86752,20.40563583,310844,Lifestyle,Desktop,AU,197.314939
vid_4871,50:41.0,10136,1138,403,51039.5025,16.40482534,563692,Music,TV,IN,319.9258092
vid_4146,50:41.0,9935,1129,114,42234.44146,7.338355874,728832,Education,Desktop,UK,272.2449148
vid_4553,50:41.0,9912,1574,449,46022.75399,7.966542902,371849,Lifestyle,Tablet,AU,303.3913451
vid_3056,50:41.0,9959,1717,,58204.80979,15.67932761,274749,Education,TV,US,360.7939727
vid_3178,50:41.0,10036,1153,,51045.19282,23.56482826,58801,Entertainment,TV,IN,314.4816397
vid_2725,50:41.0,10023,1107,212,54941.12164,9.537085174,457714,Entertainment,Mobile,AU,333.9157652
vid_4736,50:41.0,9972,820,427,24431.37983,6.021472902,17852,Gaming,Desktop,US,188.5732795
vid_3738,50:41.0,9870,1695,218,30631.2146,7.236127063,625368,Entertainment,Mobile,UK,228.7179383
vid_2785,50:41.0,10059,1966,436,24518.72924,15.91760954,976120,Entertainment,Tablet,DE,209.2897875
vid_489,50:41.0,10019,1662,460,31230.15791,27.51557078,45933,Education,TV,UK,235.9101831
vid_4734,50:41.0,9950,,465,31101.65338,16.39403939,98765,Education,TV,CA,217.0012309
vid_4387,50:41.0,10035,1205,140,38173.51785,26.13886222,120925,Education,TV,US,255.3736948
vid_1500,50:41.0,9866,365,168,46315.42305,28.33680519,525022,Entertainment,Desktop,AU,278.9223109
vid_4184,50:41.0,10131,1282,464,57871.3035,14.57083842,790328,Education,Desktop,US,355.631934
vid_2077,50:41.0,9926,261,282,41117.83576,9.523994487,838557,Education,Tablet,US,254.9025972
vid_1315,50:41.0,9971,1008,210,35161.25452,4.335114604,444186,Entertainment,Tablet,CA,238.656013
vid_3633,50:41.0,9854,,425,21522.25256,17.31012269,15676,Music,TV,DE,169.2417493
vid_3219,50:41.0,10160,1142,74,37681.29554,4.43899694,833915,Gaming,Mobile,IN,251.4872258
vid_4573,50:41.0,10140,805,353,22378.54915,22.75176585,919941,Education,Tablet,AU,178.2408077
vid_1800,50:41.0,9816,977,86,51649.67125,24.03538802,732162,Entertainment,Desktop,UK,312.9195914
vid_2770,50:41.0,9941,1854,468,40868.49049,26.58968172,670199,Gaming,Tablet,UK,284.3815057
vid_3814,50:41.0,10071,331,496,29809.26171,10.72665833,542694,Tech,TV,US,207.2246364
vid_715,50:41.0,9969,1662,234,54163.82936,2.678704119,85947,Gaming,Desktop,UK,339.8869341
vid_694,50:41.0,10099,510,,25972.3423,2.779929979,647446,Tech,TV,IN,192.4608941
vid_2053,50:41.0,10139,1386,,17763.20374,10.8281029,318637,Lifestyle,Tablet,US,168.834093
vid_3196,50:41.0,10018,1407,175,50762.51198,27.44162977,507668,Tech,Tablet,CA,318.7097826
vid_4285,50:41.0,9946,1242,493,59139.71949,25.61792289,204417,Gaming,Mobile,AU,360.4589429
vid_4042,50:41.0,9990,1484,128,44210.48294,22.16806509,580925,Gaming,Mobile,UK,288.1897375
vid_1824,50:41.0,10062,360,366,44273.60491,5.893841839,279019,Lifestyle,Desktop,DE,273.6344824
vid_3230,50:41.0,10000,970,331,59144.77308,26.36647064,54696,Entertainment,TV,DE,353.3048186
vid_1537,50:41.0,9965,1964,433,50301.82763,7.220338564,487134,Lifestyle,TV,AU,330.2694111
vid_4822,50:41.0,10056,1053,,,17.42925751,278438,Education,TV,AU,220.8739452
vid_2732,50:41.0,9800,365,250,47225.40538,22.19394823,276092,Lifestyle,TV,CA,284.277932
vid_906,50:41.0,9950,1933,301,21887.27711,28.13684303,528429,Tech,TV,US,193.4283045
vid_396,50:41.0,10026,567,302,17521.56215,12.78455073,805130,Gaming,Mobile,AU,149.7812395
vid_1242,50:41.0,9855,1285,,15365.17555,22.48281875,377779,Education,TV,AU,148.2113192
vid_245,50:41.0,10010,1741,161,53004.68406,29.89218571,185769,Gaming,Tablet,DE,334.7388524
vid_130,50:41.0,10080,1334,305,57310.02788,4.040007692,733173,Education,TV,DE,350.8810034
vid_3007,50:41.0,9887,1075,373,19526.61419,4.816418588,729128,Education,Mobile,CA,168.4613613
vid_3865,50:41.0,9962,251,288,40505.81499,26.18956633,706627,Gaming,Tablet,US,252.1360282
vid_3619,50:41.0,9913,583,402,36888.21942,25.71513363,939785,Education,Tablet,US,242.4909947
vid_3095,50:41.0,9962,540,50,,21.31257424,674108,Education,TV,IN,171.4552642
vid_4704,50:41.0,9994,591,488,20394.87559,4.556603022,202747,Entertainment,Mobile,US,166.7701897
vid_1904,50:41.0,10001,1556,130,56037.90425,13.6330265,482377,Tech,Desktop,IN,345.2797156
vid_2670,50:41.0,10085,896,363,37214.25907,13.51088304,185086,Education,Desktop,CA,249.6336424
vid_946,50:41.0,10034,1558,353,42586.13329,12.81604625,130128,Gaming,Mobile,CA,285.8999587
vid_4898,50:41.0,9941,504,75,22021.42506,18.13932228,259775,Gaming,Tablet,CA,165.5687882
vid_1326,50:41.0,9981,889,134,16032.11492,23.68701999,443101,Music,Mobile,AU,145.171572
vid_2361,50:41.0,9895,827,52,21709.4408,27.45053659,249445,Music,TV,UK,169.0144549
vid_3192,50:41.0,9995,1119,50,57284.78849,24.24328977,112757,Tech,TV,DE,342.2410724
vid_3756,50:41.0,9983,1057,393,51605.38999,20.18700041,36865,Entertainment,Tablet,IN,320.2324668
vid_873,50:41.0,9889,612,351,15467.11703,9.237367015,988374,Tech,Desktop,CA,140.997272
vid_710,50:41.0,9988,954,201,16236.92714,29.6487421,707578,Tech,Mobile,DE,148.4423698
vid_871,50:41.0,10061,727,,39349.41244,7.673720055,691421,Lifestyle,Tablet,AU,253.3186535
vid_211,50:41.0,10053,546,356,58759.82158,8.253116061,486576,Gaming,TV,US,344.9083482
vid_149,50:41.0,10150,426,163,54803.82967,8.233853147,80707,Gaming,Tablet,IN,321.3834501
vid_2833,50:41.0,9862,592,77,49123.51482,25.54599854,335804,Entertainment,TV,CA,294.4777981
vid_1929,50:41.0,9935,1727,287,25462.75238,29.35720953,895173,Education,Mobile,DE,206.4256368
vid_3672,50:41.0,10076,509,157,31745.20743,26.44481373,485395,Gaming,Mobile,UK,213.6106098
vid_695,50:41.0,10124,1678,270,57110.39515,8.463911604,601610,Music,Mobile,DE,355.4799769
vid_1269,50:41.0,10027,1682,110,36003.94721,14.95765048,61807,Gaming,Tablet,IN,252.7862399
vid_3434,50:41.0,10045,219,193,55174.94983,8.548220851,438025,Tech,Desktop,DE,319.5438567
vid_3344,50:41.0,9946,1421,82,51136.67972,17.25942266,569602,Music,Tablet,DE,318.7408606
vid_3186,50:41.0,9983,1124,252,59885.68462,16.36438756,858086,Music,Desktop,US,357.9983472
vid_3493,50:41.0,9859,1866,152,21088.30515,20.34622799,246342,Gaming,Mobile,DE,185.4749088
vid_2415,50:41.0,9843,1508,210,30271.62254,19.39320556,942995,Entertainment,Desktop,CA,223.5304144
vid_4980,50:41.0,10039,1369,341,36812.66304,21.21558129,762337,Lifestyle,Tablet,UK,255.2521214
vid_2640,50:41.0,10076,1201,167,42185.73816,24.51080809,657895,Music,Desktop,AU,274.8983858
vid_3019,50:41.0,10011,799,184,46922.58188,11.7509912,548216,Music,Tablet,US,290.2745983
vid_3607,50:41.0,9937,620,140,50452.25991,28.4574129,513998,Entertainment,TV,US,302.6970427
vid_969,50:41.0,9756,1691,467,52572.32267,4.932342789,116149,Entertainment,Tablet,IN,335.7769916
vid_4175,50:41.0,10003,234,474,53999.96055,23.0474761,117887,Music,Desktop,DE,318.8729476
vid_1983,50:41.0,9798,655,255,16639.62505,10.92246048,145452,Gaming,TV,UK,145.1400275
vid_2016,50:41.0,10042,539,193,18206.36692,4.665161767,843628,Lifestyle,Tablet,AU,150.7384751
vid_2704,50:41.0,9826,1479,211,44242.38613,2.174155576,387339,Music,Tablet,CA,288.8262552
vid_170,50:41.0,9890,820,76,21479.99682,18.90525282,364762,Lifestyle,TV,CA,168.1988661
vid_2902,50:41.0,9951,1415,241,32380.65278,13.58835267,261878,Entertainment,Mobile,DE,232.9706193
vid_3522,50:41.0,9957,715,89,,25.70064993,771298,Tech,Desktop,US,189.6114667
vid_2104,50:41.0,9991,1915,275,45614.66844,5.27952819,710586,Lifestyle,TV,US,304.7493201
vid_3916,50:41.0,9982,425,104,24957.98401,10.99914038,809926,Tech,TV,DE,178.7675587
vid_4747,50:41.0,9995,1178,389,27681.66074,9.35789721,494372,Education,Desktop,US,209.5166366
vid_4432,50:41.0,9992,1259,404,21902.3205,17.0006059,45818,Tech,TV,DE,183.9040855
vid_3714,50:41.0,10102,574,498,19705.23766,18.13634535,20190,Education,TV,IN,163.961278
